original_name,cleaned_name,Freq,Notes
Darkeyed junco,Dark-eyed Junco,2,
Dovmy Woodpecker,Downy Woodpecker,2,
Downy \Noodpecker,Downy Woodpecker,2,
Downy W'oodpecker,Downy Woodpecker,2,
Eastern Screech Owl,Eastern Screech-Owl,2,
Eastern W'ood-Pewee,Eastern Wood-Pewee,2,
Eastern Wood-Fewee,Eastern Wood-Pewee,2,
Eastern Wood-Pcwee,Eastern Wood-Pewee,2,
Eastern Wood-Pewce,Eastern Wood-Pewee,2,
Eastern Wood-Pewec,Eastern Wood-Pewee,2,
Ferruginous Hawk,,2,
Forster's Tern,,2,
Gila Woodpecker,,2,
Glossy Ibis,,2,
Golden-crowned Kinglct,Golden-crowned Kinglet,2,
Goldenwinged Warbler,Golden-winged Warbler,2,
Great-horned Owl,Great Horned Owl,2,
Green-winged Teal,,2,
Henslow's Sparrow,,2,
kinglet species,kinglet sp.,2,
Least Bittern,,2,
lVIourning Dove,Mourning Dove,2,
Mute Swan,,2,
Nashville \Narbler,Nashville Warbler,2,
Northern Sawwhet Owl,Northern Saw-whet Owl,2,
Northern Shoveler,,2,
Palm Warbler,,2,
Pilealed Woodpecker,Pileated Woodpecker,2,
Pileated W'oodpecker,Pileated Woodpecker,2,
Pine Grosbeak,,2,
Redcockaded Woodpecker,Red-cockaded Woodpecker,2,
Redheaded Woodpecker,Red-headed Woodpecker,2,
Rednaped Sapsucker,Red-naped Sapsucker,2,
Ringnecked Duck,Ring-necked Duck,2,
Rufled Grouse,Ruffed Grouse,2,
Rufous-sided To whee,Rufous-sided Towhee,2,taxonomy
Rufouscrowned Sparrow,Rufous-crowned Sparrow,2,
RufTed Grouse,Ruffed Grouse,2,
Rutfed Grouse,Ruffed Grouse,2,
Three-teed Woodpecker,Three-toed Woodpecker,2,
Vecry,Veery,2,
W'ild Turkey,Wild Turkey,2,
Western WoodPewee,Western Wood-Pewee,2,
White-breated Nuthatch,White-breasted Nuthatch,2,
White-tailed Kite,,2,
White Ibis,,2,
Whitethroated Sparrow,White-throated Sparrow,2,
' Veery,Veery,1,
'American Redstart,American Redstart,1,
'American Robin,American Robin,1,
'Nood Thrush,Wood Thrush,1,
'Warbling Vireo,Warbling Vireo,1,
"\700d Thrush""",Wood Thrush,1,help
"\form-eating Warbler""",Worm-eating Warbler,1,help
[louse Wren,House Wren,1,
\Nestern Screech-Owl,Western Screech-Owl,1,
\Nestern Wood-Fewee,Western Wood-Pewee,1,
\Ninter Wren,Winter Wren,1,
\Nood Thrush,Wood Thrush,1,
\Vood Thrush,Wood Thrush,1,
]. White,,1,delete
]. Worrall,,1,delete
Abert's Towhee,,1,
all known to breed in immediate vicinity,,1,delete
American \Voodcock,American Woodcock,1,
American Black Duck X Mallard,American Black Duck x Mallard (hybrid),1,
American Goldfich,American Goldfinch,1,
American Goldfinch. Other 0bservers: Barbara Rubin,American Goldfinch,1,
American Goldfinch. Other Observers]. Hyman,American Goldfinch,1,
American RObin,American Robin,1,
American White Pelican,,1,
and a number of vagrants,,1,delete
and Eastern Goldfinch,American Goldfinch,1,
Baird's Sparrow,,1,
Bald Eagle (imm.),Bald Eagle,1,
Baltimore Oriole. Other Observerszj. Bristow,Baltimore Oriole,1,
Bay-breaSLCd Warbler,Bay-breasted Warbler,1,
Beth O'Donnell,,1,delete
Black-and-whitc Warbler,Black-and-white Warbler,1,
Black-chimned Hummingbird,Black-chinned Hummingbird,1,
Black-chinncd Hummingbird,Black-chinned Hummingbird,1,
Black-crowned Night Heron,Black-crowned Night-Heron,1,
Black-crowned Night~Heron,Black-crowned Night-Heron,1,
Black-headed Grosbeak and Lawrence's Goldfinch,Black-headed Grosbeak and Lawrence's Goldfinch,1,split text
Black-poll Warbler,Blackpoll Warbler,1,
Black-throaled Green Warbler,Black-throated Green Warbler,1,
Black-throated Green,Black-throated Green Warbler,1,
Black-throated Green \Narbler,Black-throated Green Warbler,1,
Black-throath Blue Warbler,Black-throated Blue Warbler,1,
Black-throath Green Warbler,Black-throated Green Warbler,1,
Black Rail,,1,
